Empresa,Año,Mes,Día,Apertura,Máximo,Mínimo,Cierre,Cierre Ajustado,Volumen,Rendimiento Diario,Volatilidad,Tendencia,Sobrecompra/Sobrevendido,Recomendación
JNJ,2023,9,15,163.97999572753906,164.82000732421875,161.2100067138672,161.4499969482422,156.49794006347656,13388900.0,-0.015428703776164222,0.008147247741142748,0.0011460817204837351,-0.018335766282470543,Comprar
JNJ,2020,6,9,148.25,149.3300018310547,145.64999389648438,145.9600067138672,129.78515625,8247200.0,-0.01544683498234612,0.010423231346300257,0.0012125051290324635,-0.1440794271234758,Comprar
MSFT,2020,4,23,174.11000061035156,175.05999755859375,170.91000366210938,171.4199981689453,164.7376251220703,32790800.0,-0.015450016839792706,0.02393134682459642,0.0015779450481989256,-0.07106248329728587,Comprar
AMZN,2023,6,26,129.3300018310547,131.49000549316406,127.0999984741211,127.33000183105469,127.33000183105469,59989300.0,-0.015464315871677042,0.019217996399840176,0.0016052477746961488,0.2211788800348617,Comprar
TSLA,2020,8,11,93.06666564941406,94.66666412353516,91.0,91.6259994506836,91.6259994506836,129387000.0,-0.015479937834643366,0.03912950914713924,0.0002766369666526065,0.06543185248946119,Comprar
TSLA,2022,3,31,364.8566589355469,367.71331787109375,358.8800048828125,359.20001220703125,359.20001220703125,48992700.0,-0.01550375082921233,0.03259481815769648,0.001916689490757113,0.23819519270871542,Comprar
JNJ,2024,8,5,163.7899932861328,165.77999877929688,160.5800018310547,161.25,160.03530883789062,12032200.0,-0.015507621895408306,0.013374572324044653,0.0013162258463006076,0.05052897616964738,Comprar
TSLA,2022,8,8,295.0,305.20001220703125,289.086669921875,290.42333984375,290.42333984375,98994000.0,-0.015514102224576271,0.029868038024824062,0.004507421729101435,-0.04355816352724585,Comprar
TSLA,2021,12,31,357.8133239746094,360.6666564941406,351.5299987792969,352.260009765625,352.260009765625,40733700.0,-0.015520143708730201,0.0338704363029285,0.0028883754509211722,0.3513335011904896,Comprar
MSFT,2022,12,16,248.5500030517578,249.83999633789062,243.50999450683594,244.69000244140625,241.22108459472656,86102000.0,-0.01553007669667081,0.018739179458946556,0.0010457297332312917,-0.06962878103344171,Comprar
GOOGL,2022,8,19,119.05999755859375,119.1500015258789,116.76000213623047,117.20999908447266,117.07563018798828,21809500.0,-0.015538371510638091,0.01454104108823549,0.00276911920814546,-0.08923102666332268,Comprar
GOOGL,2020,9,10,77.50900268554688,78.68299865722656,76.0,76.30249786376953,76.21502685546875,33024000.0,-0.015565995948523809,0.01681555253539231,0.0023566146385575705,-0.3263749639621323,Comprar
TSLA,2023,3,23,195.25999450683594,199.30999755859375,188.64999389648438,192.22000122070312,192.22000122070312,144193900.0,-0.015568950996904715,0.0274861025635482,0.008665645977007187,-0.11391124797003106,Comprar
NVDA,2022,11,16,16.16200065612793,16.36199951171875,15.873000144958496,15.90999984741211,15.896824836730957,649547000.0,-0.015592179092027975,0.02977118692222336,0.0030872595059497233,-0.12502733282593825,Comprar
GOOGL,2021,9,17,143.03050231933594,143.4499969482422,140.47000122070312,140.8000030517578,140.6385955810547,53384000.0,-0.01559457060843021,0.009773450157990736,0.0004870239152160663,0.2407800146098959,Comprar
NVDA,2023,1,5,14.491000175476074,14.564000129699707,14.14799976348877,14.265000343322754,14.25683307647705,389168000.0,-0.015595875330661606,0.028105272949123954,0.0015714787180345319,-0.15317246524450287,Comprar
AMZN,2020,7,17,150.4499969482422,151.1999969482422,147.42250061035156,148.09849548339844,148.09849548339844,95226000.0,-0.015629787388116156,0.022982124867290888,0.001958642414430584,0.12189353711959024,Comprar
GOOGL,2023,7,10,118.30000305175781,118.30999755859375,116.13999938964844,116.44999694824219,116.31649780273438,35315200.0,-0.01563825913602236,0.0138630652449237,0.003357877758754334,0.1385256446267707,Comprar
GOOGL,2020,6,4,71.83899688720703,72.06600189208984,70.30049896240234,70.71499633789062,70.6339340209961,26982000.0,-0.015646105848069913,0.01318884727952082,0.0011056691128381484,-0.6974619209314212,Comprar
TSLA,2023,10,27,210.60000610351562,212.41000366210938,205.77000427246094,207.3000030517578,207.3000030517578,94881200.0,-0.01566952970616616,0.02405888684938614,0.001767470854868198,-0.04477131708716864,Comprar
GOOGL,2023,5,30,125.63999938964844,125.66000366210938,122.0,123.66999816894531,123.52822875976562,35076700.0,-0.015679729626498506,0.014654398471777283,0.00357785805905145,0.22668288830637623,Comprar
TSLA,2023,7,12,276.3299865722656,276.5199890136719,271.4599914550781,271.989990234375,271.989990234375,95672100.0,-0.01570584644730778,0.027531880896195824,0.005654770713030536,0.4048311471908595,Comprar
JNJ,2021,2,1,165.30999755859375,165.30999755859375,162.60000610351562,162.7100067138672,146.65390014648438,9971400.0,-0.015727970982547513,0.007932198083646397,0.0006989989244049308,0.0921765595682746,Comprar
AAPL,2021,7,27,149.1199951171875,149.2100067138672,145.5500030517578,146.77000427246094,144.13681030273438,104818600.0,-0.015759059292349074,0.010332672701663315,0.002456365604643322,0.14607612598047653,Comprar
MSFT,2020,12,30,225.22999572753906,225.6300048828125,221.47000122070312,221.67999267578125,214.70880126953125,20272300.0,-0.015761679701189777,0.010548792458685582,0.00011610055296306321,0.11137845713528004,Comprar
V,2022,3,3,210.5500030517578,211.5,206.55999755859375,207.22999572753906,203.22096252441406,8610000.0,-0.01576826063214361,0.01989758644477262,0.0017952136035555887,-0.07662709679070505,Comprar
JPM,2021,5,11,161.0800018310547,162.38999938964844,158.0399932861328,158.5399932861328,144.93939208984375,15451700.0,-0.015768615073557726,0.012857289231524112,0.0014971869732576786,0.27403271317401723,Comprar
V,2023,3,7,226.75,227.3800048828125,223.0800018310547,223.1699981689453,220.5811309814453,4386800.0,-0.01578832119539002,0.008310835689864874,0.002147746479395407,0.07691078073625503,Comprar
